10X_PBMC,ACC,ARI,NMI,Epoch,LR,WD,Momentum,n_top_genes,n_neighbors,num_features,num_neurons,embedding_size,activation,optimizer,seed,min_clamp_dis,max_clamp_dis,min_clamp_mean,max_clamp_mean,nClusters,device
10X_PBMC,0.43572933739171155,0.23786862294253203,0.2867758790559582,800,0.01,0.0001,0.9,2000,5,2000,80,32,Sigmoid,Adam,82,0.0001,10000.0,1e-05,1000000.0,8,cuda
10X_PBMC,0.4155935378131585,0.2620730672052616,0.39703318319462627,800,0.01,0.0001,0.9,2000,5,2000,90,64,Sigmoid,Adam,82,0.0001,10000.0,1e-05,1000000.0,8,cuda
10X_PBMC,0.3856239756497307,0.23920202357715384,0.37365525138181066,800,0.01,0.0001,0.9,2000,5,2000,256,40,Sigmoid,Adam,82,0.0001,10000.0,1e-05,1000000.0,8,cuda
