Bach,ACC,ARI,NMI,Epoch,LR,WD,Momentum,n_top_genes,n_neighbors,num_features,num_neurons,embedding_size,activation,optimizer,seed,min_clamp_dis,max_clamp_dis,min_clamp_mean,max_clamp_mean,nClusters,device
Bach,0.8496376811594203,0.7427284099725303,0.7422437856030448,800,0.01,0.0001,0.9,2000,5,2000,90,32,Sigmoid,Adam,82,0.0001,10000.0,1e-05,1000000.0,4,cuda
Bach,0.8086611456176673,0.6181699658403249,0.6046633566931082,800,0.001,0.0001,0.9,2000,5,2000,512,32,Sigmoid,Adam,82,0.0001,10000.0,1e-05,1000000.0,4,cuda
Bach,0.8047360248447205,0.6456272779371826,0.6624443872986727,800,0.005,0.0001,0.9,2000,5,2000,512,45,Sigmoid,Adam,82,0.0001,10000.0,1e-05,1000000.0,4,cuda
Bach,0.7777346445824707,0.642581962706746,0.7082300222701584,800,0.005,0.0001,0.9,2000,5,2000,256,45,Sigmoid,Adam,82,0.0001,10000.0,1e-05,1000000.0,4,cuda
