"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[individual]"	"Sample Characteristic Ontology Term[individual]"	"Sample Characteristic[strain]"	"Sample Characteristic Ontology Term[strain]"	"Sample Characteristic[age]"	"Sample Characteristic Ontology Term[age]"	"Sample Characteristic[sex]"	"Sample Characteristic Ontology Term[sex]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[cell type]"	"Sample Characteristic Ontology Term[cell type]"	"Sample Characteristic[stimulus]"	"Sample Characteristic Ontology Term[stimulus]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"	"Factor Value[strain]"	"Factor Value Ontology Term[strain]"	"Factor Value[age]"	"Factor Value Ontology Term[age]"	"Factor Value[stimulus]"	"Factor Value Ontology Term[stimulus]"	"Factor Value[cell type]"	"Factor Value Ontology Term[cell type]"
"ERR1526627"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8605"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526628"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8606"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526629"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8607"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526630"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8608"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526631"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8609"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526632"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8610"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526633"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8611"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526634"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8612"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526635"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8613"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526636"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8614"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526637"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8615"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526638"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8616"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526639"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8617"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526640"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8618"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526641"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8619"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526642"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8620"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526643"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8621"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526644"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8622"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526645"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8623"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526646"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8624"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526647"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8625"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526648"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8626"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526649"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8627"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526650"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8628"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526651"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8629"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526652"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8630"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526653"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8631"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526654"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8632"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526655"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8633"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526656"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8634"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526657"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8635"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526658"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8636"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526659"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8637"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526660"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8638"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526661"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8639"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1526662"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 1"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do8640"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"21 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
