"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[individual]"	"Sample Characteristic Ontology Term[individual]"	"Sample Characteristic[strain]"	"Sample Characteristic Ontology Term[strain]"	"Sample Characteristic[age]"	"Sample Characteristic Ontology Term[age]"	"Sample Characteristic[sex]"	"Sample Characteristic Ontology Term[sex]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[cell type]"	"Sample Characteristic Ontology Term[cell type]"	"Sample Characteristic[stimulus]"	"Sample Characteristic Ontology Term[stimulus]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"	"Factor Value[strain]"	"Factor Value Ontology Term[strain]"	"Factor Value[age]"	"Factor Value Ontology Term[age]"	"Factor Value[stimulus]"	"Factor Value Ontology Term[stimulus]"	"Factor Value[cell type]"	"Factor Value Ontology Term[cell type]"
"ERR1525458"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4746"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525459"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4747"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525460"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4748"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525461"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4749"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525462"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4750"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525463"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4751"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525464"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4752"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525465"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4753"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525466"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4754"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525467"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4755"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
