iter,ari,nmi,Loss_total
0,-0.003920174974018303,0.00658754789389742,72.94349180597438
1,-0.0036810272071390025,0.006920547642927546,48.3145812520021
2,0.009982512827837207,0.02116533377334618,32.330164679748115
3,0.004530372322164061,0.015772808356180543,19.121030327645364
4,-0.0008245048388727096,0.009938980538772395,12.962216620746984
5,-0.005412908232980922,0.00505876428186325,12.555138784738933
6,0.009286067844775392,0.02047544147265951,11.414686136696949
7,0.009049784617852587,0.019238683895992374,11.14324934432217
8,0.002048568787298116,0.012858828533247388,11.824552501701922
9,-0.005380529880283359,0.004806871878783694,11.330663659671565
10,-0.003415895353547861,0.007147745897554708,12.61209279453588
11,0.016449944001021472,0.028980514837329063,12.703269967455828
12,-0.007479622745552653,0.002570400345263937,13.569906411224085
13,0.008111792057737698,0.018296180071727147,12.25592776203171
14,-0.0057771882051618675,0.004689085361076614,11.662001842352602
15,0.014400231895572628,0.025888496159230175,14.144885966526406
16,-0.004547933149950433,0.005547626246638562,13.5810787454759
17,0.0009590983914402597,0.011334482353143173,14.353010853176002
18,-0.003404088357426234,0.006703155259926274,19.323466635617347
19,0.009935033105954056,0.01949650111704696,18.125706429700827
20,-0.0018779958419228831,0.008421524739643886,21.233046912899507
21,0.003051492907745713,0.01461119742967461,20.491675008428746
22,-0.002937661721845645,0.007625349665292419,23.133987594093135
23,0.004799496583999236,0.015653770103844,21.529076218554042
24,-0.0031327610201115144,0.006441992278478486,26.58359990372796
25,0.0031615589597666434,0.014474967490270307,38.4459827602264
26,0.004958932122827944,0.01567429341039817,33.91036805335345
27,0.01077688219056069,0.024307918264413385,38.56324516086623
28,-0.0012033048638832638,0.008912418212439616,33.213493181936215
29,-0.00631723108348928,0.003208181832078024,35.13017247899271
30,0.009513790820188711,0.020307351228808553,38.986055219019455
31,-0.0008575042832735058,0.010165973825190544,74.27859372803907
32,0.005215182500747506,0.016350684892949375,46.3926509615963
33,-0.004184249384589209,0.006044492147266387,49.73516510887594
34,0.005219478860755681,0.03039766223087891,47.406432786621096
35,0.006096705038586732,0.017536022032513504,51.192567111795874
36,0.0010206975773321026,0.021143814860289056,42.91479715822706
37,-0.0014344577775317938,0.012037932215144702,53.13082135577597
38,-0.0047680340720055074,0.004680812930515029,129.11144089325802
39,-0.002967634463037753,0.008237315556342833,57.769523770175084
40,-0.00015770354498956515,0.013294648245126488,66.51402602550966
41,-0.0007612956800327449,0.013818499224621692,163.50528638024204
42,0.0032918769525441564,0.023817346395442293,180.36094243568584
43,-0.0017543089931474876,0.011008213929292946,175.54821252314534
44,-0.0035708791214478248,0.008217827075354043,76.34872905780645
45,-0.0045055944967906545,0.007611527558557478,83.09325764490198
46,-0.0017304008308643675,0.01265013449115409,80.694666652886
47,-0.0035055498900955057,0.007911466441683616,115.57839953744829
48,-0.005995146373065272,0.005860453942328853,83.71437510223389
49,-0.0038738436952638574,0.0076743665017507505,97.28147120759225
50,-0.0051966013518779134,0.00541295764862322,86.78108725191461
51,-0.005150020064146836,0.005327200554973445,126.45554831756762
52,-0.0051309946253865835,0.006752295581126512,100.94139918338102
53,0.0025085413639624613,0.019923740379392922,125.99924485837397
54,-0.002657142966762657,0.009954325983469854,295.4451714196905
55,-0.000622682964380489,0.009862040029909036,272.1871378284409
56,-0.002807677353739948,0.02548647874057806,283.904931866095
57,-0.002034689921002176,0.007700757762475544,105.92116583626776
58,0.0018475079108830413,0.017434532749006273,310.7850873048635
59,0.0025367933101883636,0.019898327148269154,134.7114533613969
60,0.000889549127002958,0.013964736295100607,131.59147739559035
61,0.0010478105828868871,0.023781026831674695,128.53925095534777
62,-0.005862009284290916,0.007119283460146575,208.376651273587
63,-0.002344639640379142,0.008591880333068246,318.46810964445336
64,-0.003686515469283868,0.009888256069714165,168.09955638890636
65,-0.006035405612379484,0.0032662358923249116,200.70571479950647
66,-0.0020528419002009755,0.01103338747438529,622.7620040210091
67,-0.0019332773822412636,0.012152440645674192,261.01614704444495
68,-0.0035680054614084843,0.011866510626145174,232.7378733376409
69,-0.0037688225775054447,0.008472467721504943,251.74620784404695
70,-0.0005647717804788419,0.014428753199334022,252.6093907181069
71,0.000196784919544818,0.017029811308840927,269.68562398827595
72,-0.0013259517838096653,0.015338550485238238,984.6311272536221
73,-0.0028128919254660446,0.007266009155377294,262.639754228332
74,0.004832436850429366,0.028534821057230382,321.2275950010994
75,0.004840927090114218,0.02881257299518588,749.4487274611728
76,0.007235602737323963,0.026716422642933828,783.293321266878
77,0.015513710853666358,0.058741386719992496,786.4222828443034
78,0.004494306855053301,0.02937665380486807,368.3889393792775
