,num epoch,Loss_gmcm,Loss_total,recon_loss,zinb_loss
123,124,59.230053,60.53884,1.202049,0.9709815
124,125,59.22653,60.527912,1.194652,0.9709823
125,126,59.22455,60.522774,1.1914982,0.970983
126,127,59.22533,60.51068,1.1786264,0.9709838
127,128,59.22716,60.540527,1.2066457,0.9709844
128,129,59.228333,60.530136,1.1950885,0.9709849
129,130,59.229145,60.51943,1.1835725,0.97098523
130,131,59.23241,60.520485,1.1813676,0.9709854
131,132,59.23085,60.54746,1.2099087,0.9709854
132,133,59.22347,60.532013,1.201844,0.97098553
133,134,59.226208,60.54348,1.210576,0.97098553
134,135,59.22344,60.52939,1.1992593,0.97098553
135,136,59.22242,60.514,1.1848929,0.9709854
136,137,59.222015,60.514156,1.185455,0.97098523
137,138,59.223053,60.530067,1.2003293,0.970985
138,139,59.22352,60.5384,1.2081985,0.9709843
139,140,59.225834,60.514725,1.1822113,0.97098356
140,141,59.225758,60.521114,1.1886792,0.970983
141,142,59.22511,60.52596,1.194174,0.9709823
142,143,59.22335,60.536236,1.2062106,0.9709814
143,144,59.22232,60.516277,1.1872833,0.97098035
144,145,59.222813,60.517197,1.1877137,0.97097945
145,146,59.223663,60.511395,1.1810626,0.9709785
146,147,59.22349,60.50096,1.1708031,0.9709776
147,148,59.224045,60.506714,1.1760052,0.9709769
148,149,59.223633,60.497704,1.1674106,0.9709764
149,150,59.2226,60.511665,1.1824086,0.97097605
150,151,59.221607,60.52218,1.1939161,0.9709758
151,152,59.22051,60.53014,1.202977,0.97097576
152,153,59.22193,60.510662,1.182081,0.97097564
153,154,59.22477,60.548973,1.2175553,0.97097564
154,155,59.227364,60.553143,1.2191322,0.9709755
155,156,59.230453,60.530506,1.1934066,0.9709755
156,157,59.23367,60.55137,1.2110577,0.9709755
157,158,59.233727,60.512745,1.1723764,0.9709754
158,159,59.23076,60.509212,1.171814,0.9709755
159,160,59.229397,60.560284,1.2242506,0.97097576
160,161,59.23352,60.542408,1.202254,0.9709758
161,162,59.238297,60.52155,1.1766185,0.97097594
162,163,59.238003,60.54437,1.1997344,0.9709763
163,164,59.2317,60.523518,1.1851871,0.9709764
164,165,59.22604,60.513783,1.1811159,0.97097653
165,166,59.22719,60.516335,1.1825194,0.97097677
166,167,59.228752,60.50499,1.1696118,0.970977
167,168,59.228508,60.52209,1.1869555,0.9709771
168,169,59.22601,60.530495,1.1978598,0.97097737
169,170,59.222168,60.50836,1.1795701,0.97097766
170,171,59.221973,60.51812,1.1895236,0.9709779
171,172,59.223232,60.50232,1.1724628,0.970978
172,173,59.224148,60.519344,1.1885748,0.97097826
173,174,59.224728,60.521427,1.190081,0.9709784
174,175,59.22566,60.544796,1.2125177,0.9709785
175,176,59.228733,60.53621,1.2008584,0.9709786
176,177,59.23151,60.521996,1.1838672,0.97097874
177,178,59.230938,60.528294,1.1907413,0.97097874
178,179,59.23082,60.51098,1.1735414,0.97097874
179,180,59.23147,60.541203,1.2031176,0.97097886
180,181,59.233326,60.52048,1.1805378,0.97097886
181,182,59.237423,60.543747,1.1997072,0.97097886
182,183,59.239204,60.52831,1.1824913,0.97097874
183,184,59.23707,60.53575,1.192067,0.97097874
184,185,59.23242,60.5065,1.1674672,0.9709785
185,186,59.230392,60.543686,1.2066803,0.9709784
186,187,59.228848,60.551453,1.2159947,0.97097826
187,188,59.230118,60.545307,1.20858,0.97097814
188,189,59.228924,60.52554,1.1900091,0.970978
189,190,59.22527,60.52968,1.1978037,0.970978
190,191,59.22222,60.516594,1.1877673,0.9709779
191,192,59.221485,60.517994,1.1899068,0.9709779
192,193,59.224052,60.51969,1.1890364,0.9709778
193,194,59.225605,60.494854,1.1626446,0.9709778
194,195,59.22349,60.518253,1.1881607,0.9709778
195,196,59.225624,60.543903,1.2116785,0.9709778
196,197,59.233982,60.511684,1.1710981,0.9709778
197,198,59.23968,60.54842,1.202139,0.9709778
198,199,59.238842,60.530468,1.1850241,0.97097766
199,200,59.23903,60.52596,1.1803306,0.9709778
200,201,59.23899,60.532497,1.1869025,0.9709778
201,202,59.240284,60.53531,1.1884233,0.9709778
202,203,59.237995,60.54519,1.2005913,0.97097766
203,204,59.230633,60.550095,1.2128621,0.97097766
204,205,59.22643,60.541195,1.2081631,0.9709778
205,206,59.226444,60.52766,1.1946149,0.97097766
206,207,59.22714,60.523285,1.1895487,0.9709778
207,208,59.22603,60.50374,1.1711116,0.97097766
208,209,59.222378,60.52696,1.1979831,0.9709776
209,210,59.222797,60.536682,1.2072885,0.9709776
210,211,59.228565,60.5342,1.1990393,0.97097766
211,212,59.234188,60.55213,1.2113498,0.97097766
212,213,59.239246,60.536053,1.1902177,0.97097766
213,214,59.244167,60.54456,1.1938038,0.9709778
214,215,59.246876,60.545033,1.1915674,0.9709778
215,216,59.24654,60.530487,1.1773583,0.9709779
216,217,59.243866,60.554806,1.2043518,0.9709778
217,218,59.25481,60.53581,1.1744086,0.9709779
218,219,59.322277,60.612354,1.1834853,0.9709779
219,220,59.332314,60.641495,1.2025913,0.9709779
220,221,59.290188,60.611286,1.2145061,0.9709779
221,222,59.27824,60.578857,1.1940253,0.9709779
222,223,59.268932,60.566566,1.191047,0.9709779
223,224,59.276295,60.58982,1.2069386,0.9709779
224,225,59.25171,60.561954,1.2036567,0.9709779
225,226,59.252956,60.54388,1.1843367,0.9709779
226,227,59.258556,60.546463,1.1813221,0.9709779
227,228,59.234863,60.524277,1.1828269,0.9709779
228,229,59.243732,60.529533,1.1792146,0.9709779
229,230,59.24649,60.54372,1.1906478,0.9709779
230,231,59.235435,60.531178,1.1891608,0.9709779
231,232,59.231934,60.53903,1.2005126,0.9709779
232,233,59.23123,60.523243,1.1854298,0.9709779
233,234,59.2306,60.538837,1.2016584,0.9709779
234,235,59.230347,60.51519,1.1782624,0.9709779
235,236,59.22749,60.564945,1.2308747,0.9709778
236,237,59.229717,60.538403,1.2021031,0.9709779
237,238,59.223267,60.521275,1.1914281,0.9709779
238,239,59.227314,60.542988,1.209092,0.9709779
239,240,59.226166,60.51165,1.1789019,0.9709779
240,241,59.22302,60.49443,1.1648321,0.9709778
241,242,59.22477,60.52519,1.1938374,0.9709778
242,243,59.22474,60.521843,1.1905241,0.9709778
243,244,59.225975,60.528057,1.1955035,0.9709778
244,245,59.227123,60.518124,1.1844225,0.9709778
245,246,59.225533,60.536236,1.2041241,0.9709778
246,247,59.222797,60.52187,1.1924921,0.9709778
247,248,59.22292,60.5306,1.2011031,0.9709778
248,249,59.225033,60.508015,1.176404,0.9709778
249,250,59.22488,60.49898,1.1675236,0.9709778
250,251,59.226295,60.515656,1.1827786,0.9709778
251,252,59.230305,60.556713,1.219831,0.9709778
252,253,59.234592,60.530724,1.1895485,0.9709779
253,254,59.242725,60.541428,1.192123,0.9709779
254,255,59.25336,60.527813,1.1678704,0.9709779
255,256,59.25539,60.561794,1.199825,0.9709779
256,257,59.24742,60.52615,1.1721463,0.9709779
257,258,59.234493,60.543053,1.2019805,0.9709779
258,259,59.227333,60.529408,1.1954949,0.9709779
259,260,59.22955,60.524734,1.188608,0.9709779
260,261,59.24337,60.545643,1.1956968,0.9709779
261,262,59.254204,60.55265,1.1918674,0.9709779
262,263,59.251328,60.560543,1.2026442,0.9709779
263,264,59.246128,60.529354,1.1766503,0.9709779
264,265,59.244312,60.54532,1.1944326,0.9709779
265,266,59.240192,60.584816,1.2380491,0.9709779
266,267,59.282894,60.583157,1.1936858,0.9709779
