thr,pct,model,n_non_anchor,acc,ari,nmi,pct_label
2,0.6666666666666666,scCGNet,514,0.1828793774319066,0.160755023749431,0.2992928660918242,2/3 (67%)
3,1.0,scCGNet,716,0.3324022346368715,0.47678741197137764,0.629775388184256,3/3 (100%)
2,0.6666666666666666,scDeepCluster,425,0.011764705882352941,0.9989795878243323,0.9441024476994347,2/3 (67%)
3,1.0,scDeepCluster,646,0.12229102167182662,0.9286552103961373,0.8323519873261812,3/3 (100%)
2,0.6666666666666666,scMAE,478,0.12343096234309624,0.9784313557040644,0.9588901969086598,2/3 (67%)
3,1.0,scMAE,645,0.20465116279069767,0.53771753781117,0.589382933267676,3/3 (100%)
2,0.6666666666666666,scRCL,567,0.9982363315696648,0.9987972159373671,0.9821681297571689,2/3 (67%)
3,1.0,scRCL,716,0.9916201117318436,0.9852496228103091,0.9410860640204269,3/3 (100%)
